horizon_days,target,repetition,model_id,architecture,wall_seconds,batch_size,resource,gpu_count,supporting_cpu_cores,slurm_job_id,target_date
7,ET,80,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.1989299040287733,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,81,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.1989763928577304,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,82,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19904262013733387,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,83,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19888965599238873,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,84,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.20101142674684525,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,85,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19941916409879923,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,86,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19920989219099283,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,87,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19940101820975542,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,88,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19398373179137707,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,89,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.1918148985132575,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,90,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19259583111852407,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,91,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.18903939984738827,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,92,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19265896175056696,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,93,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19310986902564764,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,94,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19375279638916254,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,95,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19306563399732113,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,96,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.20020556636154652,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,97,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19692244194447994,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,98,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19183037895709276,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,99,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19282543193548918,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,100,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.1931335749104619,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,101,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.1924534672871232,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,102,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.20017472747713327,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,103,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.20088889077305794,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,104,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.20167225878685713,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,105,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.202109488658607,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,106,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.2015744298696518,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,107,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.20158727560192347,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,108,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.20107060112059116,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,109,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.20128639601171017,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,110,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.20151274092495441,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,111,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.2013570424169302,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,112,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.20059866271913052,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,113,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.20045245252549648,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,114,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.1976510938256979,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,115,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.1983634540811181,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,116,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.18954751919955015,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,117,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19339720346033573,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,118,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19368429481983185,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,119,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.194967201910913,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,120,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.1969410888850689,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,121,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.1958050448447466,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,122,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19688545260578394,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,123,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19722356088459492,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,124,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19670982379466295,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,125,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19072412140667439,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,126,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.20210966933518648,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,127,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.20100030582398176,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,128,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.20134544931352139,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,129,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.20144600328058004,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,130,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.2013721913099289,1,NVIDIA A40,1,8,6499038,2020-07-01
