horizon_days,repetition,et_seconds,sm_seconds,pair_seconds,resource,gpu_count,supporting_cpu_cores,batch_size,slurm_job_id,target_date
7,185,0.19946423172950745,0.19318802189081907,0.3926570229232311,NVIDIA A40,1,8,1,6499038,2020-07-01
7,186,0.19915662333369255,0.19337290804833174,0.39253441989421844,NVIDIA A40,1,8,1,6499038,2020-07-01
7,187,0.19205638580024242,0.1816159961745143,0.37367672100663185,NVIDIA A40,1,8,1,6499038,2020-07-01
7,188,0.19152979459613562,0.1908444045111537,0.3823791779577732,NVIDIA A40,1,8,1,6499038,2020-07-01
7,189,0.20027643628418446,0.19372561667114496,0.39400653168559074,NVIDIA A40,1,8,1,6499038,2020-07-01
7,190,0.20030763559043407,0.19374561589211226,0.39405738841742277,NVIDIA A40,1,8,1,6499038,2020-07-01
7,191,0.19999615754932165,0.19364125467836857,0.3936424618586898,NVIDIA A40,1,8,1,6499038,2020-07-01
7,192,0.20033515896648169,0.19474667962640524,0.39508621767163277,NVIDIA A40,1,8,1,6499038,2020-07-01
7,193,0.2014298541471362,0.19442883972078562,0.39586320146918297,NVIDIA A40,1,8,1,6499038,2020-07-01
7,194,0.20129482448101044,0.19484266452491283,0.3961430611088872,NVIDIA A40,1,8,1,6499038,2020-07-01
7,195,0.2010735087096691,0.19421673100441694,0.3952955100685358,NVIDIA A40,1,8,1,6499038,2020-07-01
7,196,0.20071031991392374,0.19436193071305752,0.39507710095494986,NVIDIA A40,1,8,1,6499038,2020-07-01
7,197,0.20101668871939182,0.19426215812563896,0.3952839393168688,NVIDIA A40,1,8,1,6499038,2020-07-01
7,198,0.20040736813098192,0.19415091536939144,0.3945628711953759,NVIDIA A40,1,8,1,6499038,2020-07-01
7,199,0.20037187915295362,0.19077707454562187,0.39115450717508793,NVIDIA A40,1,8,1,6499038,2020-07-01
7,200,0.1954652527347207,0.19133067037910223,0.3868011627346277,NVIDIA A40,1,8,1,6499038,2020-07-01
30,1,0.22679769340902567,0.3766106562688947,0.6034136088564992,NVIDIA A40,1,8,1,6499038,2020-07-01
30,2,0.2260106485337019,0.3767357273027301,0.6027525868266821,NVIDIA A40,1,8,1,6499038,2020-07-01
30,3,0.2273886688053608,0.37645866349339485,0.6038524536415935,NVIDIA A40,1,8,1,6499038,2020-07-01
30,4,0.2268582098186016,0.37499840557575226,0.6018621549010277,NVIDIA A40,1,8,1,6499038,2020-07-01
30,5,0.23069442808628082,0.3664126107469201,0.5971122486516833,NVIDIA A40,1,8,1,6499038,2020-07-01
30,6,0.2204494420439005,0.36520879715681076,0.5856631882488728,NVIDIA A40,1,8,1,6499038,2020-07-01
30,7,0.21410565171390772,0.3628960680216551,0.5770069500431418,NVIDIA A40,1,8,1,6499038,2020-07-01
30,8,0.2186119183897972,0.3640171242877841,0.5826338026672602,NVIDIA A40,1,8,1,6499038,2020-07-01
30,9,0.21909024938941002,0.36299174185842276,0.5820869794115424,NVIDIA A40,1,8,1,6499038,2020-07-01
30,10,0.21919768583029509,0.3639338044449687,0.5831362484022975,NVIDIA A40,1,8,1,6499038,2020-07-01
30,11,0.21852116379886866,0.3639567382633686,0.582483503036201,NVIDIA A40,1,8,1,6499038,2020-07-01
30,12,0.2180446768179536,0.3626411883160472,0.5806910153478384,NVIDIA A40,1,8,1,6499038,2020-07-01
30,13,0.21802683360874653,0.36140324734151363,0.5794356809929013,NVIDIA A40,1,8,1,6499038,2020-07-01
30,14,0.2184032266959548,0.36205590330064297,0.5804646899923682,NVIDIA A40,1,8,1,6499038,2020-07-01
30,15,0.21758466307073832,0.36092374473810196,0.5785133969038725,NVIDIA A40,1,8,1,6499038,2020-07-01
30,16,0.21750734373927116,0.36263792123645544,0.5801508072763681,NVIDIA A40,1,8,1,6499038,2020-07-01
30,17,0.2187964441254735,0.3683032877743244,0.5871052630245686,NVIDIA A40,1,8,1,6499038,2020-07-01
30,18,0.2264988087117672,0.3780372207984328,0.6045407373458147,NVIDIA A40,1,8,1,6499038,2020-07-01
30,19,0.22748558595776558,0.3789006508886814,0.6064027491956949,NVIDIA A40,1,8,1,6499038,2020-07-01
30,20,0.2277038749307394,0.3764793137088418,0.604188971221447,NVIDIA A40,1,8,1,6499038,2020-07-01
30,21,0.22677045036107302,0.3759827883914113,0.6027581784874201,NVIDIA A40,1,8,1,6499038,2020-07-01
30,22,0.22712441068142653,0.3713979097083211,0.5985277118161321,NVIDIA A40,1,8,1,6499038,2020-07-01
30,23,0.2191647244617343,0.3774939840659499,0.5966638792306185,NVIDIA A40,1,8,1,6499038,2020-07-01
30,24,0.22693764697760344,0.377435602247715,0.6043789889663458,NVIDIA A40,1,8,1,6499038,2020-07-01
30,25,0.22654188610613346,0.3743078149855137,0.6008553430438042,NVIDIA A40,1,8,1,6499038,2020-07-01
30,26,0.22594677098095417,0.3758469261229038,0.6017991881817579,NVIDIA A40,1,8,1,6499038,2020-07-01
30,27,0.22625370137393475,0.37370089907199144,0.5999606410041451,NVIDIA A40,1,8,1,6499038,2020-07-01
30,28,0.22665421292185783,0.37681491766124964,0.6034752111881971,NVIDIA A40,1,8,1,6499038,2020-07-01
30,29,0.22656583227217197,0.37560429982841015,0.6021753810346127,NVIDIA A40,1,8,1,6499038,2020-07-01
